"Date","Price","Open","High","Low","Vol.","Change %"
"Jun 27, 2005","102.95","102.84","103.26","102.44","9.06M","0.09%"
"Jun 24, 2005","102.86","103.99","104.02","102.78","10.11M","-1.14%"
"Jun 23, 2005","104.05","105.79","105.87","103.90","12.82M","-1.86%"
"Jun 22, 2005","106.02","106.21","106.33","105.67","3.44M","0.02%"
"Jun 21, 2005","106.00","105.98","106.20","105.69","3.87M","0.04%"
"Jun 20, 2005","105.96","105.68","106.27","105.54","3.99M","-0.08%"
"Jun 17, 2005","106.04","106.21","106.51","105.89","7.46M","0.25%"
"Jun 16, 2005","105.78","105.70","106.02","105.46","6.82M","0.04%"
"Jun 15, 2005","105.74","105.87","105.92","104.99","6.12M","0.16%"
"Jun 14, 2005","105.57","105.28","105.91","105.19","4.23M","0.22%"
"Jun 13, 2005","105.34","104.96","105.94","104.76","4.82M","0.16%"
"Jun 10, 2005","105.17","105.14","105.38","104.48","5.12M","0.18%"
"Jun 09, 2005","104.98","104.72","105.24","104.38","4.07M","0.17%"
"Jun 08, 2005","104.80","105.27","105.41","104.57","6.07M","-0.08%"
"Jun 07, 2005","104.88","104.89","105.74","104.79","6.88M","0.24%"
"Jun 06, 2005","104.63","104.66","104.99","104.25","3.76M","-0.09%"
"Jun 03, 2005","104.72","105.27","105.44","104.38","5.01M","-0.71%"
"Jun 02, 2005","105.47","105.11","105.56","105.04","3.47M","0.13%"
"Jun 01, 2005","105.33","104.64","105.83","104.61","7.95M","0.67%"
"May 31, 2005","104.63","105.32","105.35","104.57","5.59M","-0.70%"
"May 27, 2005","105.37","105.30","105.44","105.07","2.11M","0.09%"
"May 26, 2005","105.27","104.99","105.35","104.84","4.76M","0.65%"
"May 25, 2005","104.59","104.71","104.71","104.16","5.07M","-0.23%"
"May 24, 2005","104.83","104.92","105.13","104.63","5.15M","-0.37%"
"May 23, 2005","105.22","104.63","105.50","104.63","5.31M","0.56%"
"May 20, 2005","104.63","104.83","104.85","104.12","6.35M","-0.49%"
"May 19, 2005","105.14","104.96","105.20","104.59","5.08M","0.29%"
"May 18, 2005","104.84","103.92","105.06","103.86","8.50M","1.30%"
"May 17, 2005","103.49","102.37","103.55","102.28","5.97M","0.83%"
"May 16, 2005","102.64","101.62","102.71","101.59","5.84M","0.95%"
"May 13, 2005","101.67","102.23","102.47","100.86","11.75M","-0.26%"
"May 12, 2005","101.93","103.02","103.34","101.93","5.57M","-1.06%"
"May 11, 2005","103.02","102.99","103.25","100.60","7.71M","0.31%"
"May 10, 2005","102.70","103.36","103.49","102.50","6.97M","-1.01%"
"May 09, 2005","103.75","103.46","103.88","103.21","3.92M","0.31%"
"May 06, 2005","103.43","103.92","104.05","103.40","5.38M","-0.07%"
"May 05, 2005","103.50","103.81","104.08","102.99","8.84M","-0.26%"
"May 04, 2005","103.77","103.01","103.93","102.67","8.81M","0.86%"
"May 03, 2005","102.89","102.32","103.08","102.05","7.12M","0.30%"
"May 02, 2005","102.58","102.24","102.60","101.86","5.35M","0.69%"
"Apr 29, 2005","101.88","101.31","101.98","100.44","10.21M","1.35%"
"Apr 28, 2005","100.52","101.64","101.83","100.52","7.09M","-1.35%"
"Apr 27, 2005","101.90","101.11","102.17","100.74","10.44M","0.38%"
"Apr 26, 2005","101.51","102.06","102.62","101.43","6.08M","-0.87%"
"Apr 25, 2005","102.40","102.05","102.58","101.88","4.63M","0.56%"
"Apr 22, 2005","101.83","101.90","102.16","100.62","6.18M","-0.28%"
"Apr 21, 2005","102.12","100.95","102.29","100.68","7.35M","1.98%"
"Apr 20, 2005","100.14","101.51","101.78","99.89","12.04M","-1.10%"
"Apr 19, 2005","101.25","101.01","101.50","100.80","7.64M","0.70%"
"Apr 18, 2005","100.55","100.62","101.01","100.11","13.01M","-0.15%"
"Apr 15, 2005","100.70","102.21","102.60","100.62","12.19M","-1.66%"
"Apr 14, 2005","102.40","104.10","104.17","102.39","10.94M","-1.52%"
"Apr 13, 2005","103.98","104.92","105.22","103.75","8.18M","-0.96%"
"Apr 12, 2005","104.99","104.20","105.30","103.56","9.17M","0.50%"
"Apr 11, 2005","104.47","104.79","104.81","104.38","3.19M","-0.07%"
"Apr 08, 2005","104.54","105.45","105.54","104.52","3.65M","-0.93%"
"Apr 07, 2005","105.52","104.81","105.58","104.75","3.85M","0.48%"
"Apr 06, 2005","105.02","104.80","105.24","104.72","4.54M","0.41%"
"Apr 05, 2005","104.59","104.29","104.68","104.15","4.40M","0.36%"
"Apr 04, 2005","104.22","104.08","104.82","103.46","11.56M","0.16%"
"Apr 01, 2005","104.05","105.43","105.62","103.74","7.75M","-0.90%"
"Mar 31, 2005","104.99","105.17","105.32","104.80","7.39M","-0.33%"
"Mar 30, 2005","105.34","104.18","105.39","104.18","5.66M","1.22%"
"Mar 29, 2005","104.07","104.61","105.13","103.86","7.66M","-0.66%"
"Mar 28, 2005","104.76","104.60","105.23","104.56","4.97M","0.31%"
"Mar 24, 2005","104.44","104.72","105.15","104.35","5.06M","0.03%"
"Mar 23, 2005","104.41","104.49","105.55","104.21","7.42M","-0.11%"
"Mar 22, 2005","104.53","105.54","106.03","104.50","7.07M","-0.84%"
"Mar 21, 2005","105.42","106.04","106.12","105.23","7.32M","-0.51%"
"Mar 18, 2005","105.96","106.38","106.44","105.44","10.71M","-0.31%"
"Mar 17, 2005","106.29","106.56","106.68","106.04","4.48M","-0.06%"
"Mar 16, 2005","106.35","106.95","107.11","106.19","6.53M","-1.13%"
"Mar 15, 2005","107.57","108.39","108.48","107.52","3.93M","-0.53%"
"Mar 14, 2005","108.14","107.95","108.16","107.58","3.48M","0.28%"
"Mar 11, 2005","107.84","108.49","108.81","107.65","3.49M","-0.58%"
"Mar 10, 2005","108.47","108.21","108.73","107.74","5.22M","0.43%"
"Mar 09, 2005","108.01","108.83","109.23","108.00","5.06M","-1.05%"
"Mar 08, 2005","109.16","109.29","109.52","108.96","7.53M","-0.16%"
"Mar 07, 2005","109.33","109.39","109.83","109.30","4.13M","-0.19%"
"Mar 04, 2005","109.54","108.91","109.61","108.65","6.13M","1.19%"
"Mar 03, 2005","108.25","108.42","108.67","107.64","8.28M","0.17%"
"Mar 02, 2005","108.07","107.81","108.69","107.74","7.64M","-0.15%"
"Mar 01, 2005","108.23","107.76","108.49","107.76","5.32M","0.49%"
"Feb 28, 2005","107.70","108.11","108.98","107.26","7.47M","-0.61%"
"Feb 25, 2005","108.36","107.43","108.42","107.30","4.99M","0.88%"
"Feb 24, 2005","107.41","106.58","107.55","106.36","7.12M","0.54%"
"Feb 23, 2005","106.83","106.35","106.95","106.19","6.46M","0.77%"
"Feb 22, 2005","106.01","107.33","107.67","105.99","8.99M","-1.67%"
"Feb 18, 2005","107.81","107.48","107.84","107.20","4.91M","0.08%"
